Key,Date,Locations,C&F Agent,Division,SKU,Sales,OpeningStock,Receipts,Forecast,SellingPrice,Scheme Activity,Scheme Type
37987AHMEDABAD AGENT 2PROD E,2004-01-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,94560,90560,43680,83638,8.42,0,0.0
38018AHMEDABAD AGENT 2PROD E,2004-02-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,71520,38720,77760,73595,8.42,0,0.0
38047AHMEDABAD AGENT 2PROD E,2004-03-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,40320,44960,43200,73754,8.42,0,0.0
38078AHMEDABAD AGENT 2PROD E,2004-04-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,86880,47840,60480,191354,6.15,1,2.0
38108AHMEDABAD AGENT 2PROD E,2004-05-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,81600,20960,84960,163922,6.15,1,2.0
38139AHMEDABAD AGENT 2PROD E,2004-06-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,117440,24320,125760,184000,6.15,1,2.0
38169AHMEDABAD AGENT 2PROD E,2004-07-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,98400,32640,116640,210802,6.15,1,2.0
38200AHMEDABAD AGENT 2PROD E,2004-08-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,84000,50400,89760,183118,6.2,1,1.0
38231AHMEDABAD AGENT 2PROD E,2004-09-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,88320,56160,56640,100261,8.42,1,1.0
38261AHMEDABAD AGENT 2PROD E,2004-10-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,89280,24480,92640,82248,8.42,1,1.0
38292AHMEDABAD AGENT 2PROD E,2004-11-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,90720,27840,82080,96828,6.2,0,0.0
38322AHMEDABAD AGENT 2PROD E,2004-12-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,110880,19200,116640,85708,8.42,1,2.0
38353AHMEDABAD AGENT 2PROD E,2005-01-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,79680,24960,82560,81681,8.42,1,2.0
38384AHMEDABAD AGENT 2PROD E,2005-02-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,76800,27360,83040,88350,6.2,1,2.0
38412AHMEDABAD AGENT 2PROD E,2005-03-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,45600,33600,69120,78117,8.42,1,2.0
38443AHMEDABAD AGENT 2PROD E,2005-04-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,92160,57120,68160,90436,8.42,0,0.0
38473AHMEDABAD AGENT 2PROD E,2005-05-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,95040,33120,72000,83104,8.42,0,0.0
38504AHMEDABAD AGENT 2PROD E,2005-06-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,102720,10080,124320,109605,6.2,0,0.0
38534AHMEDABAD AGENT 2PROD E,2005-07-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,72960,31680,137280,108758,8.42,0,0.0
38565AHMEDABAD AGENT 2PROD E,2005-08-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,86400,96000,0,117551,6.2,0,0.0
38596AHMEDABAD AGENT 2PROD E,2005-09-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,82560,9600,100800,83320,8.42,1,1.0
38626AHMEDABAD AGENT 2PROD E,2005-10-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,75840,27840,150240,92939,8.42,0,0.0
38657AHMEDABAD AGENT 2PROD E,2005-11-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,89255,102240,48960,79000,6.2,0,0.0
38687AHMEDABAD AGENT 2PROD E,2005-12-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,87840,61920,39840,92000,8.42,0,0.0
38718AHMEDABAD AGENT 2PROD E,2006-01-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,63840,13920,90240,95523,6.2,0,0.0
38749AHMEDABAD AGENT 2PROD E,2006-02-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,66720,40320,72972,93361,6.2,0,0.0
38777AHMEDABAD AGENT 2PROD E,2006-03-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,47040,46560,72960,45023,8.42,0,0.0
38808AHMEDABAD AGENT 2PROD E,2006-04-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,79290,72480,31200,100366,6.2,0,0.0
38838AHMEDABAD AGENT 2PROD E,2006-05-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,78240,24390,112800,159375,6.2,0,0.0
38869AHMEDABAD AGENT 2PROD E,2006-06-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,80977,57457,144000,108530,8.42,0,0.0
38899AHMEDABAD AGENT 2PROD E,2006-07-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,133440,240960,0,153748,6.2,0,0.0
38930AHMEDABAD AGENT 2PROD E,2006-08-01,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,79680,53760,63360,90732,8.42,0,0.0
